法令種別,法令番号,法令名,法令名読み,旧法令名,公布日,改正法令名,改正法令番号,改正法令公布日,施行日,施行日備考,法令ID,本文URL,未施行
政令,明治五年太政官布告第三百三十七号,明治五年太政官布告第三百三十七号（改暦ノ布告）,かいれきのふこく,,明治五年十一月九日,,,明治五年十一月九日,明治五年十一月九日,,105DF0000000337,https://laws.e-gov.go.jp/law/105DF0000000337/18721109_000000000000000,
法律,明治六年太政官布告第六十五号,明治六年太政官布告第六十五号（絞罪器械図式）,こうざいきかいずしき,,明治六年二月二十日,,,明治六年二月二十日,明治六年二月二十日,,106DF0000000065,https://laws.e-gov.go.jp/law/106DF0000000065/18730220_000000000000000,
政令,明治八年太政官布告第五十四号,明治八年太政官布告第五十四号（勲章制定ノ件）,くんしょうせいていのけん,,明治八年四月十日,,平成十四年政令第二百七十七号,平成十四年八月十二日,平成十五年五月一日,,108DF0000000054,https://laws.e-gov.go.jp/law/108DF0000000054/20030501_414CO0000000277,
政令,明治八年太政官布告第百三号,明治八年太政官布告第百三号（裁判事務心得）,さいばんじむこころえ,,明治八年六月八日,,,明治八年六月八日,明治八年六月八日,,108DF0000000103,https://laws.e-gov.go.jp/law/108DF0000000103/18750608_000000000000000,
政令,明治八年太政官達第百五十二号,明治八年太政官達第百五十二号（不用物品等払下ノトキ其管庁所属ノ官吏入札禁止ノ件）,ふようぶっぴんとうはらいさげのときそのかんちょうしょぞくのかんりにゅうさつきんしのけん,,明治八年八月二十七日,,,明治八年八月二十七日,明治八年八月二十七日,,108DT0000000152,https://laws.e-gov.go.jp/law/108DT0000000152/18750827_000000000000000,
政令,明治十年太政官達第九十七号,明治十年太政官達第九十七号（大勲位菊花大綬章及副章製式ノ件）,だいくんいきっかだいじゅしょうおよびふくしょうせいしきのけん,,明治十年十二月二十五日,,平成十四年政令第二百七十七号,平成十四年八月十二日,平成十五年五月一日,,110DT0000000097,https://laws.e-gov.go.jp/law/110DT0000000097/20030501_414CO0000000277,
政令,明治十四年太政官布告第六十三号,明治十四年太政官布告第六十三号（褒章条例）,ほうしょうじょうれい,,明治十四年十二月七日,,平成十四年政令第二百七十八号,平成十四年八月十二日,平成十五年五月一日,,114DF0000000063,https://laws.e-gov.go.jp/law/114DF0000000063/20030501_414CO0000000278,
政令,明治十六年太政官達第二十七号,明治十六年太政官達第二十七号（官報の発行）,かんぽうのはっこう,,明治十六年六月二十日,,,明治十六年六月二十日,明治十六年六月二十日,,116DT0000000027,https://laws.e-gov.go.jp/law/116DT0000000027/18830620_000000000000000,
法律,明治十七年太政官布告第三十二号,明治十七年太政官布告第三十二号（爆発物取締罰則）,ばくはつぶつとりしまりばっそく,,明治十七年十二月二十七日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,117DF1000000032,https://laws.e-gov.go.jp/law/117DF1000000032/20250601_504AC0000000068,
勅令,明治十九年勅令,メートル条約,めーとるじょうやく,,明治十九年四月二十日,,,明治十九年四月二十日,明治十九年四月二十日,,119IO0000000000,https://laws.e-gov.go.jp/law/119IO0000000000/18860420_000000000000000,
勅令,明治十九年勅令第五十一号,明治十九年勅令第五十一号（本初子午線経度計算方及標準時ノ件）,ほんしょしごせんけいどけいさんかたおよびひょうじゅんじのけん,,明治十九年七月十三日,,,明治十九年七月十三日,明治十九年七月十三日,,119IO0000000051,https://laws.e-gov.go.jp/law/119IO0000000051/18860713_000000000000000,
勅令,明治二十年勅令,海底電信線保護万国連合条約ノ説明書,かいていでんしんせんほごばんこくれんごうじょうやくのせつめいしょ,,明治二十年十二月二十二日,,,明治二十年十二月二十二日,明治二十年十二月二十二日,,120IO0000000001,https://laws.e-gov.go.jp/law/120IO0000000001/18871222_000000000000000,
勅令,明治二十年勅令,海上法ノ要義ヲ確定スル為メ西暦千八百五十六年四月十六日巴里公会ニ於テ決定セシ宣言,かいじょうほうのようぎをかくていするためせいれきせんはっぴゃくごじゅうろくねんしがつじゅうろくにちぱりこうかいにおいてけっていせしせんげん,,明治二十年三月二十四日,,,明治二十年三月二十四日,明治二十年三月二十四日,,120IO0000000002,https://laws.e-gov.go.jp/law/120IO0000000002/18870324_000000000000000,
勅令,明治二十一年勅令第一号,明治二十一年勅令第一号（宝冠章及大勲位菊花章頸飾ニ関スル件）,ほうかんしょうおよびだいくんいきっかしょうけいしょくにかんするけん,,明治二十一年一月四日,,平成十四年政令第二百七十七号,平成十四年八月十二日,平成十五年五月一日,,121IO0000000001,https://laws.e-gov.go.jp/law/121IO0000000001/20030501_414CO0000000277,
勅令,明治二十一年勅令第七十六号,勲章佩用式,くんしょうはいようしき,,明治二十一年十一月十七日,,平成十四年政令第二百七十七号,平成十四年八月十二日,平成十五年五月一日,,121IO0000000076,https://laws.e-gov.go.jp/law/121IO0000000076/20030501_414CO0000000277,
法律,明治二十二年法律第三十四号,明治二十二年法律第三十四号（決闘罪ニ関スル件）,けっとうざいにかんするけん,,明治二十二年十二月三十日,刑法等の一部を改正する法律の施行に伴う関係法律の整理等に関する法律,令和四年法律第六十八号,令和四年六月十七日,令和七年六月一日,,122AC0000000034,https://laws.e-gov.go.jp/law/122AC0000000034/20250601_504AC0000000068,
勅令,明治二十二年勅令第百三号,明治二十二年勅令第百三号（帝国憲法発布記念章制定ノ件）,ていこくけんぽうはっぷきねんしょうせいていのけん,,明治二十二年八月三日,,,明治二十二年八月三日,明治二十二年八月三日,,122IO0000000103,https://laws.e-gov.go.jp/law/122IO0000000103/18890803_000000000000000,
府省令,明治二十二年閣令第十二号,歳入歳出予算概定順序,さいにゅうさいしゅつよさんおおむねていじゅんじょ,,明治二十二年三月二十七日,,明治二十六年閣令第二号,明治二十六年十一月十一日,明治二十六年十一月十一日,,122M10000001012,https://laws.e-gov.go.jp/law/122M10000001012/18931111_126M10000001002,
府省令,明治二十二年閣令第十九号,予定経費算出概則,よていけいひさんしゅつがいそく,,明治二十二年六月十日,,,明治二十二年六月十日,明治二十二年六月十日,,122M10000001019,https://laws.e-gov.go.jp/law/122M10000001019/18890610_000000000000000,
法律,明治二十三年法律第一号,保管金規則,ほかんきんきそく,,明治二十三年一月七日,印紙税法,昭和四十二年法律第二十三号,昭和四十二年五月三十一日,昭和四十二年五月三十一日,,123AC0000000001,https://laws.e-gov.go.jp/law/123AC0000000001/19670531_342AC0000000023,
府省令,明治二十五年閣令第四号,明治二十五年閣令第四号（各官庁ニ於テ公務上在外公使領事ヲ煩ハストキ外務大臣ヘ照会ノ件）,かくかんちょうにおいてこうむじょうざいがいこうしりょうじをわずらわすときがいむだいじんへしょうかいのけん,,明治二十五年五月二十七日,,,明治二十五年五月二十七日,明治二十五年五月二十七日,,125M10000001004,https://laws.e-gov.go.jp/law/125M10000001004/18920527_000000000000000,
勅令,明治二十六年勅令第二百六十一号,明治二十六年勅令第二百六十一号（政府ノ債務ニ対シ差押命令ヲ受クル場合ニ於ケル会計上ノ規程）,せいふのさいむにたいしさしおさえめいれいをうくるばあいにおけるかいけいじょうのきてい,,明治二十六年十二月二十七日,民事訴訟法等の一部を改正する法律の施行及び民事関係手続等における情報通信技術の活用等の推進を図るための関係法律の整備に関する法律の一部の施行に伴う関係政令の整備に関する政令,令和八年政令第三十八号,令和八年三月十八日,令和八年三月十八日,,126IO0000000261,https://laws.e-gov.go.jp/law/126IO0000000261/20260318_508CO0000000038,
勅令,明治二十七年勅令第二十三号,明治二十七年勅令第二十三号（大婚二十五年祝典之章制定ノ件）,だいこんにじゅうごねんしゅくてんゆきしょうせいていのけん,,明治二十七年三月六日,,,明治二十七年三月六日,明治二十七年三月六日,,127IO0000000023,https://laws.e-gov.go.jp/law/127IO0000000023/18940306_000000000000000,
